,Symbol,Strategy,Direction,Total Return,Sharpe Ratio,Max Drawdown,Total Trades,Win Rate,Profit Factor
0,BTC,MACD Divergence,long,0.7137672473459145,0.4142801937524313,-0.39397232347323896,156,0.46794871794871795,1.1743496577764467
1,BTC,RSI Divergence,long,0.1272450388318262,0.2104016785742059,-0.15707716957113393,17,0.5294117647058824,1.5104118871946228
2,BTC,Bollinger Bands,long,6.216879283554818,1.1895469401148517,-0.2676355077658956,117,0.6324786324786325,2.3039447699189877
3,BTC,Bollinger Bands,short,0.9080482222679765,0.5329949657030008,-0.4126272853727717,132,0.6515151515151515,1.4801215279040678
4,BTC,Parabolic SAR,long,1.3379542358109113,0.5574963067928064,-0.43431500038387383,163,0.4723926380368098,1.2277354768659037
5,BTC,RSI Mean Reversion,long,-0.053051712223308414,0.11675332423362317,-0.5118733101261037,152,0.4144736842105263,0.9855925472121976
6,BTC,Mean Reversion,long,2.910864206054869,1.4389215161679811,-0.11926614296221205,33,0.7878787878787878,13.97298867775902
7,ETH,MACD Divergence,long,0.6996406117291312,0.39255250934289826,-0.6436255081434379,174,0.5229885057471264,1.0855979252197554
8,ETH,MACD Divergence,short,0.0316056383108598,0.20246439258190152,-0.03231410402274204,52,0.6923076923076923,1.1973098825862207
9,ETH,RSI Divergence,long,0.8723198427070423,0.6364004426364042,-0.2081363530681224,18,0.6111111111111112,3.7939837292360132
10,ETH,Bollinger Bands,long,2.72389345443833,0.7081644186471401,-0.4723404715480274,109,0.5963302752293578,1.7090103918507817
11,ETH,Bollinger Bands,short,0.008926055894781798,0.15232494512680378,-0.012201994557515583,1,1.0,inf
12,ETH,Parabolic SAR,long,1.4147757399529362,0.5188710198146514,-0.6645715297772378,139,0.48201438848920863,1.217439162416941
13,ETH,Mean Reversion,long,0.3548717136823191,0.29728803768909284,-0.5930716078489484,56,0.375,1.0854202443736798
