,Symbol,Strategy,Direction,Total Return,Sharpe Ratio,Max Drawdown,Total Trades,Win Rate,Profit Factor
0,BTC,MACD Divergence,long,2168.138602719802,3.1648675924371177,-0.2982731599139302,93,0.8817204301075269,132.73132734184395
1,BTC,RSI Divergence,long,180.522565523581,2.3818802582224534,-0.29827315991393066,58,0.7586206896551724,28.18863598272238
2,BTC,Bollinger Bands,long,3447.898347094832,3.411679428862126,-0.2944025685952948,181,0.7845303867403315,10.847599116228448
3,BTC,Parabolic SAR,long,3704.4899304356413,3.3778064825873138,-0.29827315991392955,175,0.8228571428571428,12.092304192764875
4,BTC,RSI Mean Reversion,long,881.1349984456408,2.972744455821212,-0.28453549537365697,164,0.774390243902439,6.338969553455785
5,BTC,Mean Reversion,long,2.5137366822208445,1.6377492517048136,-0.1194329228006149,20,0.95,41.39216320347947
6,ETH,MACD Divergence,long,10534.272002745107,3.0877555418770117,-0.2834461218115567,88,0.9204545454545454,166.642876464186
7,ETH,RSI Divergence,long,320.85285731860733,2.168689649911672,-0.2834461218115567,57,0.7543859649122807,14.176830013596254
8,ETH,Bollinger Bands,long,19198.306766848033,3.35261779297373,-0.2834461218115566,203,0.7832512315270936,6.3236601197814135
9,ETH,Parabolic SAR,long,10669.164897531351,3.121829067011954,-0.26557672560731094,207,0.7584541062801933,5.866769207480044
10,ETH,RSI Mean Reversion,long,8393.462603143113,3.0363073908070475,-0.2834461218115566,81,0.9135802469135802,172.69369311976584
11,ETH,Mean Reversion,long,91.62807442512421,2.3045745937842814,-0.2298664282121503,40,0.975,1097.6648919709232
