,Symbol,Strategy,Direction,Total Return,Sharpe Ratio,Max Drawdown,Total Trades,Win Rate,Profit Factor
0,BTC,MACD Divergence,short,117.67520017499203,2.503978713322772,-0.17439639652517558,92,0.7608695652173914,19.16545909527918
1,BTC,RSI Divergence,long,0.004734275279348452,0.0664236458943089,-0.02305456341041512,18,0.7222222222222222,1.105116171688574
2,BTC,RSI Divergence,short,9.1909539759504,1.4286667741802044,-0.2591465536510732,53,0.7358490566037735,11.271584705834002
3,BTC,Bollinger Bands,short,275.7878352182034,2.434507184435754,-0.2863761848936094,138,0.8115942028985508,6.049550003409376
4,BTC,Parabolic SAR,short,380.9282011989399,2.573174437367016,-0.2952874751747687,138,0.7898550724637681,6.415444516768944
5,BTC,RSI Mean Reversion,short,83.83987934212502,2.114942451650907,-0.3334831644948746,126,0.7301587301587301,4.272379175515687
6,BTC,Mean Reversion,short,106.72076145569757,2.851356336119657,-0.15018476235443967,80,0.9,436.60545327050164
7,ETH,MACD Divergence,short,216.1944148178693,2.0191365977514746,-0.37696830973536843,123,0.7154471544715447,4.137211513924321
8,ETH,RSI Divergence,short,3.933947221279613,0.9078936123216799,-0.30794350559229333,49,0.5510204081632653,2.594341620305273
9,ETH,Bollinger Bands,short,348.09707069841863,2.1266436830584534,-0.32985389140992916,127,0.7795275590551181,2.7448426434796693
10,ETH,Parabolic SAR,short,541.0885906224603,2.1823058596076783,-0.3029912971385512,135,0.8,2.7984324485522043
11,ETH,RSI Mean Reversion,long,0.45481030447661214,0.7423926887903591,-0.14204056754636563,55,0.6545454545454545,1.8454517504560386
12,ETH,RSI Mean Reversion,short,111.35249588938385,1.9132180805402856,-0.289867109634552,105,0.6952380952380952,3.7642719722901243
13,ETH,Mean Reversion,short,35.79477734737154,2.1759610278082464,-0.16948015216928414,54,0.9629629629629629,59.21529257669421
