,Symbol,Strategy,Direction,Total Return,Sharpe Ratio,Max Drawdown,Total Trades,Win Rate,Profit Factor
0,BTC,MACD Divergence,long,1312.664734237609,2.9732950823006683,-0.2922507374227351,89,0.8202247191011236,51.10689349822159
1,BTC,RSI Divergence,long,7.040535596349661,1.5935547975773132,-0.16592218685357252,26,0.8461538461538461,33.877155925787605
2,BTC,Bollinger Bands,long,3228.729942032602,3.295928552798641,-0.29225073742273555,95,0.8842105263157894,349.8681421468296
3,BTC,Parabolic SAR,long,2487.8467263897637,3.2309742332586873,-0.29225073742273555,157,0.8152866242038217,9.583945380204844
4,BTC,RSI Mean Reversion,long,860.2813152210028,2.865924190001965,-0.2922507374227351,79,0.7721518987341772,38.76772477267207
5,BTC,Mean Reversion,long,2.369673120202286,1.5566426919840832,-0.1134314244505169,19,0.8947368421052632,34.360450469412775
6,ETH,MACD Divergence,long,3780.1058482209646,2.783096498483088,-0.2861285500747385,86,0.8255813953488372,45.453905435550105
7,ETH,RSI Divergence,long,5.157766960476957,1.3328852538656437,-0.20606249946524013,22,0.8636363636363636,13.089796291349906
8,ETH,Bollinger Bands,long,14872.357346578483,3.1657938618224457,-0.28612855007473825,88,0.9090909090909091,220.02687757750192
9,ETH,Parabolic SAR,long,9218.80228900424,3.042751098912553,-0.2861285500747386,159,0.7672955974842768,6.221717578138174
10,ETH,RSI Mean Reversion,long,2981.0679404292787,2.736735211530894,-0.28612855007473836,78,0.8333333333333334,24.44390568175084
11,ETH,Mean Reversion,long,86.79488517282121,2.298040995217963,-0.22269855595667853,40,0.95,361.3322452875718
